address,area,categories,name,price,rating,url
"211 E 43rd St
New York, NY 10017",Midtown East,Japanese,Sakagura,$$$,4.0,https://www.yelp.com/biz/sakagura-new-york?osq=Japanese+Food
"8 W 18th St
New York, NY 10011",Flatiron,"Japanese, Sushi Bars",Ootoya Chelsea,$$,4.0,https://www.yelp.com/biz/ootoya-chelsea-new-york?osq=Japanese+Food
"181 E 78th St
New York, NY 10075","Upper East Side, Yorkville","Sushi Bars, Japanese, Seafood",寿司 ノズ,,4.5,https://www.yelp.com/biz/sushi-noz-new-york?osq=Japanese+Food
"253 W 55th St
New York, NY 10019",Midtown West,"Japanese, Seafood, Desserts",Donburiya,$$,4.0,https://www.yelp.com/biz/donburiya-new-york-2?osq=Japanese+Food
"354 E 66th St
New York, NY 10065",Upper East Side,"Japanese, Sushi Bars",Zawa Japanese,$$$,4.5,https://www.yelp.com/biz/zawa-japanese-new-york?osq=Japanese+Food
"245 W 51st St
New York, NY 10019","Theater District, Midtown West","Tapas/Small Plates, Ramen, Sushi Bars",Nippori,$$,4.0,https://www.yelp.com/biz/nippori-new-york?osq=Japanese+Food
"235 E 53rd St
New York, NY 10022",Midtown East,Ramen,Shinshi Ramen,$$,4.0,https://www.yelp.com/biz/shinshi-ramen-new-york?osq=Japanese+Food
"251 W 55th St
New York, NY 10019",Midtown West,"Japanese, Noodles, Beer, Wine & Spirits",SOBA AZUMA,$$,4.0,https://www.yelp.com/biz/soba-azuma-new-york?osq=Japanese+Food
"159 E 55th St
New York, NY 10022",Midtown East,Ramen,Teppen Ramen,$$,5.0,https://www.yelp.com/biz/teppen-ramen-new-york?osq=Japanese+Food
"246 E 51st St
New York, NY 10022",Midtown East,"Sushi Bars, Japanese",Sushi You,$$,4.0,https://www.yelp.com/biz/sushi-you-new-york?osq=Japanese+Food
"247 E 50th St
New York, NY 10022",Midtown East,"Japanese, Tapas/Small Plates",Shochu & Tapas - Aya,$$,3.5,https://www.yelp.com/biz/shochu-and-tapas-aya-new-york-2?osq=Japanese+Food
"309 E 83rd St
New York, NY 10028","Yorkville, Upper East Side",Japanese,Donguri Restaurant,$$$,4.0,https://www.yelp.com/biz/donguri-restaurant-new-york?osq=Japanese+Food
"2233 Broadway
New York, NY 10024",Upper West Side,"Steakhouses, Japanese, Wine Bars",Ikinari Steak Upper West,$$,3.0,https://www.yelp.com/biz/ikinari-steak-upper-west-new-york?osq=Japanese+Food
"1143 1st Ave
New York, NY 10021",Upper East Side,"Japanese, Sushi Bars",Sushi Seki,$$$,4.0,https://www.yelp.com/biz/sushi-seki-new-york-5?osq=Japanese+Food
"1369 6th Ave
New York, NY 10019",Midtown West,"Japanese, Sushi Bars",MakiMaki,$$,4.5,https://www.yelp.com/biz/makimaki-new-york?osq=Japanese+Food
"204 E 43rd St
New York, NY 10017",Midtown East,Japanese,Sushi Yasuda,$$$$,4.0,https://www.yelp.com/biz/sushi-yasuda-new-york?osq=Japanese+Food
"621 Manhattan Ave
Brooklyn, NY 11222",Greenpoint,"Ramen, Japanese Curry",Wanpaku,$$,4.5,https://www.yelp.com/biz/wanpaku-brooklyn?osq=Japanese+Food
"5-50 50th Ave
Long Island City, NY 11101","Hunters Point, Long Island City","Coffee & Tea, Izakaya, Noodles",Takumen,$$,4.0,https://www.yelp.com/biz/takumen-long-island-city-2?osq=Japanese+Food
"746 10th Ave
New York, NY 10019","Hell's Kitchen, Midtown West",Japanese,Method,$$$,4.5,https://www.yelp.com/biz/method-new-york-3?osq=Japanese+Food
"13 W 26th St
New York, NY 10010",Flatiron,"Gastropubs, Izakaya, Bars",Izakaya NoMad,$$,4.0,https://www.yelp.com/biz/izakaya-nomad-new-york?osq=Japanese+Food
"4644 Vernon Blvd
Long Island City, NY 11101","Hunters Point, Long Island City","Japanese, Sushi Bars",Murasaki,$$,4.5,https://www.yelp.com/biz/murasaki-long-island-city?osq=Japanese+Food
"303 E 56th St
New York, NY 10022",Midtown East,"Japanese, Sushi Bars",Dai Hachi Sushi,$$,4.0,https://www.yelp.com/biz/dai-hachi-sushi-new-york-2?osq=Japanese+Food
"10 E 39th St
New York, NY 10016",Midtown East,"Sushi Bars, Ramen, Asian Fusion",Norikoh,$$,4.0,https://www.yelp.com/biz/norikoh-new-york?osq=Japanese+Food
